name,brand,p/n,code,p_current,p_base,discount,tax,rating,opinions,cpu,cpu_ghz_min,cpu_ghz_max,ram,ram_mhz,ram_gb,gpu,disk1,disk1_gb,disk1_type,disk2,disk2_gb,disk2_type,display,display_inch,display_width,display_height,date,url
"HP 15S-FQ1048NS Intel Core i5-1035G1/8GB/512GB SSD/15.6""",HP,8RW17EA,265908,585.0,585.0,0.0,21.0,100.0,1," Intel® Core™ i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché, 4 núcleos)",1.0,3.6, RAM SDRAM DDR4-2666 de 8 GB (1 x 8 GB),2666,8, Gráficos Intel® UHD, SSD de 512 GB PCIe® NVMe™ M.2,512,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6 pulgadas) en diagonal de tipo micro-edge (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15s-fq1048ns-intel-core-i5-1035g1-8gb-512gb-ssd-156
"Asus Zenbook 14 UM431DA-AM022 AMD Ryzen 7 3700U/16GB/512GB SSD/14""",Asus,UM431DA-AM022,258799,699.0,699.0,0.0,21.0,97.5,8," AMD® RyzenTM 7 3700U (4 Núcleos, 8 Subprocesos, Caché: 4MB Level 3, 2.3GHz hasta 4.0GHz, 64-bit)",2.3,4.0, RAM 16GB (16GB [EN PLACA]) DDR4 2400MHz,2400,16, AMD® Radeon RX Vega 10 Graphics, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD," 14"" (35,56cm) LED Retroiluminado / 60Hz / NanoEdge (Borde Estrecho) / Ultra Slim / 250nits / FHD (1920x1080/16:9) / Antirreflejos / NTSC:72% / SRGB:100% / IPS / Ángulo de Visión de 178°",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-zenbook-14-um431da-am022-amd-ryzen-7-3700u-16gb-512gb-ssd-14
"MSI Modern 14 A10RB-663XES Intel Core i7-10510U/16GB/512GB SSD/MX250/14""",MSI,9S7-14B352-663,237941,949.0,999.0,6.0,21.0,95.0,36, Comet lake I7-10510U,,, DDR IV 16GB (2666MHz),2666,16," GeForce® MX250, 2GB GDDR5", 512GB NVMe PCIe SSD,512,SSD,,,," 14"" FHD (1920*1080), IPS-Level 60Hz 72%NTSC Thin Bezel, close to 100%sRGB",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-modern-14-a10rb-663xes-intel-core-i7-10510u-16gb-512gb-ssd-mx250-14
"MSI GF65 Thin 9SEXR-236XES Intel Core i7-9750H/16GB/512GB SSD/RTX 2060/15.6""",MSI,9S7-16W112-236,258577,1099.99,1399.0,22.0,21.0,80.0,10," Intel® Core i7-9750H (6 Núcleos, 12MB Caché, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5, RAM DDR IV 8GB*2 (2666MHz),2666,16," RTX 2060, GDDR6 6GB", 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf65-thin-9sexr-236xes-intel-core-i7-9750h-16gb-512gb-ssd-rtx-2060-156
"Asus UX533FD-A8047 Intel Core i7-8565U/16GB/512GB SSD/GTX1050/15.6""",Asus,UX533FD-A8047,259315,999.0,1299.0,24.0,21.0,88.2,17," Intel® Core i7-8565U (4 Núcleos, 8M Caché, 1.80 GHz hasta 4.60 GHz, 64-bit)",1.8,4.6, RAM 16GB (16GB [EN PLACA]) DDR4 2400MHz,2400,16, NVIDIA® GeForce® GTX1050 con Diseño Max-Q. 2GB GDDR5 VRAM, 512GB SSD M.2 PCIEG3 NVME,512,SSD, 512GB SSD M.2 PCIEG3 NVME,512,SSD," 15.6"" (39,62cm) LED Retroiluminado / 60Hz / Borde Estrecho / Ultra Slim / 300nits / FHD (1920x1080/16:9) / Antirreflejos / NTSC:72% / Adobe:100% / IPS / Ángulo de Visión de 178°",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-ux533fd-a8047-intel-core-i7-8565u-16gb-512gb-ssd-gtx1050-156
"Lenovo Legion Y540-15IRH-PG0 Intel Core i7-9750H/8GB/512GB SSD/GTX1650/15.6""",Lenovo,81SY00ANSP,250009,849.0,898.99,6.0,21.0,86.7,6," Intel Core i7-9750H (6C / 12T, 2.6 / 4.5GHz, 12MB)",2.6,4.5, RAM 1x 8GB DIMM DDR4-2666,2666,8, NVIDIA GeForce GTX 1650 4GB GDDR5, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) IPS 250nits Anti-glare, 60Hz",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-legion-y540-15irh-pg0-intel-core-i7-9750h-8gb-512gb-ssd-gtx1650-156
"Lenovo V130-15IKB Intel Core i5-8250U/8GB/512GB SSD/15.6""",Lenovo,81HN00TSSP,257427,594.59,594.59,0.0,21.0,87.5,8," Intel® Core™ i5-8250U (4 núcleos, hasta 3.1GHz)",,3.1, RAM 8 GB DDR4 2133 MHz (4GB soldada en placa + 4GB DIMM),2133,8, Intel HD Graphics 620, 512 GB SSD M2 (2242) PCIe NVMe 3.0,512,SSD, 512 GB SSD M2 (2242) PCIe NVMe 3.0,512,SSD," 15.6"" FHD (1920x1080) TN 220nits Mate",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-v130-15ikb-intel-core-i5-8250u-8gb-512gb-ssd-156
"Lenovo ideapad L340-15IRH Gaming Intel Core i7-9750H/16GB/512GB SSD/GTX1650/15.6""",Lenovo,81LK00G0SP,258742,889.0,1098.99,20.0,21.0,96.9,13," Intel Core i7-9750H (6C / 12T, 2.6 / 4.5GHz, 12MB)",2.6,4.5, RAM 16GB DIMM DDR4-2400,2400,16, NVIDIA GeForce GTX 1650 4GB GDDR5, 512GB SSD M.2 2242 PCIe NVMe 3.0,512,SSD, 512GB SSD M.2 2242 PCIe NVMe 3.0,512,SSD," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-l340-15irh-gaming-intel-core-i7-9750h-16gb-512gb-ssd-gtx1650-156
"Lenovo V130-15IKB Intel Core i3-7020U/8GB/256 GB SSD/15.6""",Lenovo,81HN00PCSP,220522,360.0,360.0,0.0,21.0,84.0,20, Intel® Core? i3-7020U (hasta 2.3GHz),,2.3, RAM 8GB (4GB soldada en placa; 1/1 sockets) DDR4-2133MHz,2133,8, Intel HD Graphics 620, 256GB M.2 (2242) SSD / PCIe 3.0 NVMe ,256,SSD,,,," 15.6"" (1920x1080 FullHD) LED mate",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-v130-15ikb-intel-core-i3-7020u-8gb-256-gb-ssd-156
"Apple MacBook Air Intel Core i5/8GB/128GB SSD/13.3"" Gris Espacial",Apple,MVFH2Y/A,220607,999.0,999.0,0.0,21.0,94.0,47,"Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 3,6 GHz) y 4 MB de caché de nivel 3",1.6,3.6,8 GB de memoria LPDDR3 integrada a 2.133 MHz,2133,8,Intel UHD Graphics 617Compatible con procesadores gráficos externos (eGPU) con tecnología Thunderbolt 3,SSD PCIe de 128 GB,128,SSD,,,,"Pantalla RetinaPantalla retroiluminada por LED de 13,3 pulgadas (en diagonal) con tecnología IPS; resolución nativa de 2.560 por 1.600 a 227 píxeles por pulgada compatible con millones de coloresResoluciones adaptadas compatibles:1.680 por 1.0501.440 por 9001.024 por 640Relación dimensional de 16:10Tecnología True Tone",13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-gris-espacial
